Call Sign	Number	Service Name	Subscribed Lineup	Scanned Source(s)	TuningInfo	MatchName	Service Callsign
BBC1HD	1	BBC One HD	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10847 V (6941)	DVBS:282:10847:2:2050:6941	BBC1HD
BBC2HD	2	BBC Two HD	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10847 V (6940)	DVBS:282:10847:2:2050:6940	BBC2HD
ITV1GHD	3	ITV1 (Granada) HD	EPG123 Freesat - North West (North West)	Digital Satellite (DVB-S)	11053 H (20740)	DVBS:282:11053:2:2063:20740	ITV1GHD
C4	4	Channel 4	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	11126 V (21200)	DVBS:282:11126:2:2068:21200	C4
CH5HD	5	Channel 5 HD	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10964 H (7750)	DVBS:282:10964:2:2057:7750	CH5HD
BBC4HD	7	BBC Four HD	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	11023 H (8931)	DVBS:282:11023:2:2061:8931	BBC4HD
BBCSEHD	8	BBC Scotland HD	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	11023 H (8924)	DVBS:282:11023:2:2061:8924	BBCSEHD
ITV2	13	ITV2	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10758 V (10070)	DVBS:282:10758:2:2044:10070	ITV2
ITVTHREE	15	ITV3	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10891 H (10163)	DVBS:282:10891:2:2053:10163	ITV3 (eng)
ITV4	17	ITV4	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10758 V (10072)	DVBS:282:10758:2:2044:10072	ITV4
ITVBE	18	ITV BE	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10758 V (10075)	DVBS:282:10758:2:2044:10075	ITVBE
E4	122	E4	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10714 H (9241)	DVBS:282:10714:2:2041:9241	E4
4SEVEN	127	4Seven	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	11126 V (21250)	DVBS:282:11126:2:2068:21250	4SEVEN
5USA	129	5USA	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10964 H (7710)	DVBS:282:10964:2:2057:7710	5USA
5ST	131	5 Star	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10964 H (7715)	DVBS:282:10964:2:2057:7715	5ST
PARNSVM	132	Paramount Network	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10964 H (7760)	DVBS:282:10964:2:2057:7760	PARNSVM
5SELECT	133	5SELECT	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10964 H (7716)	DVBS:282:10964:2:2057:7716	5SELECT
CBSDRMA	134	CBS Drama	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	11343 V (50903)	DVBS:282:11343:2:2112:50903	CBSDRMA
CBSRELT	135	CBS Reality	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	11343 V (55214)	DVBS:282:11343:2:2112:55214	CBSRELT
CBSJUVM	137	CBS Justice	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	11343 V (55209)	DVBS:282:11343:2:2112:55209	CBSJUVM
SONYCUK	142	Sony Channel	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	11307 V (53375)	DVBS:282:11307:2:2110:53375	SONYCUK
PICKTV	144	Pick TV	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	12070 H (5832)	DVBS:282:12070:2:2019:5832	PICKTV
DAVE	157	Dave	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	12129 V (6506)	DVBS:282:12129:2:2022:6506	DAVE
SMTSN	175	Smithsonian Channel HD	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	11508 V (55271)	DVBS:282:11508:2:2092:55271	SMTSN
BBCNWHD	200	BBC News HD	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	11023 H (8921)	DVBS:282:11023:2:2061:8921	BBCNWHD
BBCPARL	201	BBC Parliament	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10788 V (10307)	DVBS:282:10788:2:2046:10307	BBCPARL
SKYNEWS	202	Sky News	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	12070 H (6404)	DVBS:282:12070:2:2019:6404	SKYNEWS
ALJAZAV	203	Al Jazeera	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	11582 H (52189)	DVBS:282:11582:2:2097:52189	ALJAZAV
FR24EN	205	France 24 English HD	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	11686 V (55310)	DVBS:282:11686:2:2104:55310	FR24EN
RTUKHD	206	RT HD	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	11225 V (53148)	DVBS:282:11225:2:2106:53148	RTUKHD
CNNEUVM	207	CNN International	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	11671 H (50290)	DVBS:282:11671:2:2103:50290	CNNEUVM
BLOOMEU	208	Bloomberg TV HD	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	11686 V (55392)	DVBS:282:11686:2:2104:55392	BLOOMEU
